show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,title_norm,tconst,titleType,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes,primaryTitle_norm
s4531,TV Show,Empire Games,,Jim O'Brien,"Czech Republic, United States","October 5, 2018",2018,TV-14,1 Season,Docuseries,Interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.,empire games,tt8171234,tvSeries,Empire Games,Empire Games,2018.0,"Documentary,History",5.8,402.0,empire games
s4538,Movie,The Black Prince,Kavi Raz,"Satinder Sartaaj, Shabana Azmi, Jason Flemyng, Amanda Root, Rup Magon, Sophie Stevens, Keith Duffy, David Essex, Leanne Joyce, Ranjit Singh Shubh","United Kingdom, India, United States","October 3, 2018",2017,PG-13,121 min,"Dramas, International Movies","After being exiled to England as a child, a Punjabi prince struggles to return to his homeland and his Sikh faith in this historical drama.",the black prince,tt3962984,movie,The Black Prince,The Black Prince,2017.0,"Drama,History",5.7,1116.0,the black prince
s4539,Movie,Truth or Dare,Nick Simon,"Cassandra Scerbo, Brytni Sarpy, Mason Dye, Harvey Guillen, Luke Baines, Ricardo Hoyos, Alexxis Lemire, Christina Masterson, Heather Langenkamp",United States,"October 3, 2018",2017,TV-MA,88 min,Horror Movies,"A game of ""Truth or Dare"" among college friends on spring break turns deadly when a demon seems determined to use it to kill them all.",truth or dare,tt6581166,tvEpisode,Truth or Dare,Truth or Dare,2017.0,"Crime,Documentary,Reality-TV",7.1,60.0,truth or dare
s4544,Movie,Monty Python Conquers America,Will Yapp,"Graham Chapman, Eric Idle, Terry Jones, Michael Palin, Terry Gilliam, John Cleese",,"October 2, 2018",2008,TV-MA,55 min,Documentaries,Follow the evolution of the British sketch comedy troupe that redefined humor and shaped an entire generation of American comics.,monty python conquers america,tt19880958,tvMovie,Monty Python Conquers America,Monty Python Conquers America,2008.0,Documentary,7.0,60.0,monty python conquers america
s4549,Movie,Monty Python: The Meaning of Live,"Roger Graef, James Rogan","John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Mike Myers, Graham Chapman, Stephen Hawking",United Kingdom,"October 2, 2018",2014,TV-MA,94 min,Documentaries,"From heyday to curtain call, this documentary offers a rare glimpse of the legendary Monty Python troupe as it stages live shows after a long hiatus.",monty python: the meaning of live,tt4256544,tvMovie,Monty Python: The Meaning of Live,Monty Python: The Meaning of Live,2014.0,Documentary,7.6,898.0,monty python: the meaning of live
s4556,Movie,The Meaning of Monty Python,Albert Sharpe,,United Kingdom,"October 2, 2018",2013,TV-MA,60 min,Documentaries,"Five Pythons reflect on their creative process, politics, television and the making of their award-winning final film, ""The Meaning of Life.""",the meaning of monty python,tt3260850,video,The Meaning of Monty Python,The Meaning of Monty Python,2013.0,Documentary,7.3,458.0,the meaning of monty python
s4558,Movie,A Witches' Ball,Justin G. Dyck,"Morgan Neundorf, Karen Slater, Loukia Ioannou, Will Ennis, Renee Stein, Keith Cooper, Paul Mason, Lisa Scenna, Ashley Rogan",Canada,"October 1, 2018",2017,PG,91 min,Children & Family Movies,"Beatrix can't wait to be inducted as a witch, but an unfortunate incident threatens to take her pending title away if she doesn't act fast.",a witches' ball,tt5814408,movie,A Witches' Ball,A Witches' Ball,2017.0,"Adventure,Comedy,Family",5.1,479.0,a witches' ball
s4564,Movie,Dil Vil Pyaar Vyaar,Manjeet Maan,"Gurdas Maan, Neeru Bajwa, Jassi Gill, Rajiv Thakur, Khushdeed Maan, Manav Vij, Raj Jhinger, Shruti Sodhi, Meher Vij",India,"October 1, 2018",2014,TV-PG,145 min,"International Movies, Music & Musicals, Romantic Movies","Agam Singh's brothers mean everything to him, so while he promises not to marry, he tries to get them to marry – but they want him to marry first.",dil vil pyaar vyaar,tt3723864,movie,Dil Vil Pyaar Vyaar,Dil Vil Pyaar Vyaar,2014.0,Family,6.6,106.0,dil vil pyaar vyaar
s4568,Movie,Haani,Amitoj Mann,"Sarabjit Cheema, Mahreen Kaleka, Harbhajan Mann, Anuj Sachdeva, Rupan Bal, Sonia Mann",India,"October 1, 2018",2013,TV-14,137 min,"Dramas, International Movies, Music & Musicals","When a man discovers that he can communicate with his grandfather's spirit, it leads to two love stories intertwining 50 years apart.",haani,tt3211048,movie,Haani,Haani,2013.0,"Family,Romance",7.7,165.0,haani
s4570,Movie,Harishchandrachi Factory,Paresh Mokashi,"Nandu Madhav, Vibhawari Deshpande, Ambarish Deshpande, Mohit Gokhale, Dilip Joglekar, Dheeresh Joshi, Ketan Karande, Atharva Karve, Mayur Khandge, Sandip Pathak",India,"October 1, 2018",2009,TV-PG,99 min,"Dramas, International Movies","Against a backdrop of burgeoning social unrest, a neophyte filmmaker makes history in 1913 as the director of India's first feature-length film.",harishchandrachi factory,tt1524539,movie,Harishchandrachi Factory,Harishchandrachi Factory,2009.0,"Biography,Comedy,Drama",8.4,3908.0,harishchandrachi factory
s4574,Movie,Jodhaa Akbar,Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Poonam Sinha, Suhasini Mulay, Ila Arun, Raza Murad, Kulbhushan Kharbanda, Abeer Abrar",India,"October 1, 2018",2008,TV-14,214 min,"Action & Adventure, Dramas, International Movies","In 16th-century India, what begins as a strategic alliance between a Mughal emperor and a Hindu princess becomes a genuine opportunity for true love.",jodhaa akbar,tt0449994,movie,Jodhaa Akbar,Jodhaa Akbar,2008.0,"Action,Drama,History",7.5,36183.0,jodhaa akbar
s4599,Movie,Pizza,Akshay Akkineni,"Akshay Oberoi, Parvathy Omanakuttan, Arunoday Singh, Dipannita Sharma, Rajesh Sharma, Omkar Das Manikpuri, Hussain Dalal, D. Santosh",India,"October 1, 2018",2014,TV-14,102 min,"Horror Movies, International Movies, Thrillers",A pizza delivery boy who doesn't believe in the supernatural is forced to confront his convictions after being trapped in a house on his route.,pizza,tt5875838,tvEpisode,Pizza,Pizza,2014.0,Family,,,pizza
s4604,Movie,Sat Shri Akaal England,Vikram Pradhan,"Ammy Virk, Monica Gill, Karamjit Anmol, Sardar Sohi, Jarnail Singh, Satwant Kaur, Harby Sangha, Baljinder Darapuri",India,"October 1, 2018",2017,TV-14,127 min,"Comedies, Dramas, International Movies","After several failed attempts to obtain a visa, a man desperate to escape Punjab pays a British woman to marry him so he can move to England.",sat shri akaal england,tt7585674,movie,Sat Shri Akaal England,Sat Shri Akaal England,2017.0,"Comedy,Family",5.3,302.0,sat shri akaal england
s4610,Movie,Tiger,Sartaj Singh Pannu,"Sippy Gill, Ihana Dhillon, Yograj Singh, Yashpal Sharma, Deedar GIll, Rahul Jugraj, Virender Nath Lubana, Aneeta",India,"October 1, 2018",2016,TV-14,130 min,"Action & Adventure, Dramas, International Movies","Imprisoned for drug smuggling as a child, a young man uses the law he studied while in jail to take revenge on those who wronged him.",tiger,tt5611978,short,Tiger,Tiger,2016.0,"Comedy,Drama,Family",6.7,23.0,tiger
s4614,Movie,We Are Family,Sidharth Malhotra,"Kajol, Kareena Kapoor, Arjun Rampal, Nominath Ginsberg, Iravati Harshe, Aachal Munjal, Diya Sonecha","India, Australia","October 1, 2018",2010,TV-14,119 min,"Dramas, International Movies",A divorced mother of three children runs a happy household – until her former husband brings his new career-oriented girlfriend into the picture.,we are family,tt1428459,movie,We Are Family,We Are Family,2010.0,"Comedy,Drama,Family",5.7,4272.0,we are family
